ID,ECO,SITE,Lat,Long,X6o5KM_GYRATE_MN,X6o5KM_GYRATE_AM,X6o5KM_PARA_MN,X6o5KM_CLUMPY,TRich,Isothermality,Temp DQ,Temp Warm,PrecipSeas,Precip WQ,AntAl,AntBa,AntBm,AntBr,SpiAl,SpiBa,SpiBm,SpiBr,SFAl,SFBa,SFBm,SFBr,AFAl,AFBa,AFBm,AFBr
BROKFar,NCTP,BROK,39.49316,-8.500466,68.2753,2474.7153,868.3476,0.826,20,29.720745,-1.216667,22.35,19.242201,330,3.875,6.125,2.580645,0.6125,8.125,26.875,4.307692,0.7678571,9.5,8.5,1.894737,0.4722222,2.5,1.5,1.6,0.375
BROKNear,NCTP,BROK,39.49666,-8.500616,71.1696,2160.3575,893.1893,0.8222,23,29.720745,-1.216667,22.35,19.242201,330,5,11,3.2,0.6875,5.125,23.875,5.658537,0.8232759,9,4,1.444444,0.3076923,2.875,3.125,2.086957,0.5208333
CACRFar,NCTP,CACR,39.54066,-8.4014,52.7192,895.1312,923.4712,0.7044,19,30.098831,-0.9,22.266666,19.631737,313,3.125,3.875,2.24,0.5535714,4.625,20.375,5.405405,0.815,7.875,7.125,1.904762,0.475,1.75,1.25,1.714286,0.4166667
CACRNear,NCTP,CACR,39.54316,-8.401166,52.3259,903.2886,924.5556,0.7019,23,30.421146,-0.833333,22.383333,19.773903,313,4,6,2.5,0.6,8.625,25.375,3.942029,0.7463235,9.125,3.875,1.424658,0.2980769,2.25,0.75,1.333333,0.25
CLCRCemRd,WAP,CLCR,39.59366,-8.257366,114.6059,3537.6721,883.5583,0.6892,22,31.227354,-0.833333,21.799999,20.556204,314,3,7,3.333333,0.7,6,19,4.166667,0.76,7.75,4.25,1.548387,0.3541667,2.125,2.875,2.352941,0.575
CLCRMemRock,WAP,CLCR,39.5845,-8.260866,106.3647,4172.6468,905.721,0.6643,13,30.851547,-0.95,21.666666,20.532429,314,5.25,10.75,3.047619,0.671875,4,18,5.5,0.8181818,6.5,7.5,2.153846,0.5357143,3.125,2.875,1.92,0.4791667
EOAChalet,WAP,EOA,38.69483,-8.343466,70.955,3066.2577,951.7531,0.7929,19,32.477478,0.316667,22.516666,17.293613,324,5.625,7.375,2.311111,0.5673077,7.5,19.5,3.6,0.7222222,9.5,2.5,1.263158,0.2083333,3.375,1.625,1.481481,0.325
EOALynx,WAP,EOA,38.77716,-8.341033,38.7071,4275.3579,1028.6836,0.7043,24,32.750896,0.066667,22.283333,17.277063,322,6,11,2.833333,0.6470588,6.375,18.625,3.921569,0.745,8.25,4.75,1.575758,0.3653846,4,2,1.5,0.3333333
HWSPLeft,NCTP,HWSP,39.57233,-8.473199,56.2402,1456.732,869.7043,0.7836,20,29.644444,-1.466667,22.066668,18.786371,317,4.625,7.375,2.594595,0.6145833,6,21,4.5,0.7777778,9.5,4.5,1.473684,0.3214286,2.875,3.125,2.086957,0.5208333
HWSPRight,NCTP,HWSP,39.57383,-8.473466,57.6437,1473.491,868.0603,0.7848,21,29.853724,-1.383333,22.166666,18.99367,317,5.375,6.625,2.232558,0.5520833,9,33,4.666667,0.7857143,10.375,7.625,1.73494,0.4236111,3.125,0.875,1.28,0.21875
SSFOFar,WAP,SSFO,38.74483,-8.316399,143.8947,4266.9375,1008.2578,0.6436,18,32.813911,0.066667,22.133333,17.02322,323,6.125,6.875,2.122449,0.5288462,6.125,17.875,3.918367,0.7447917,9.125,4.875,1.534247,0.3482143,3.875,2.125,1.548387,0.3541667
SSFONear,WAP,SSFO,38.73116,-8.314383,97.9758,4184.3946,968.4272,0.7195,18,32.971996,12.866667,22.200001,17.024103,323,5.375,8.625,2.604651,0.6160714,5.5,19.5,4.545455,0.78,10.125,4.875,1.481481,0.325,3.5,2.5,1.714286,0.4166667
